case_id,customer_id,site_code,channel,issue_type,priority,created_at,first_response_seconds,handle_seconds,resolved_at,sla_target_seconds,sla_breached,agent_id
C101956,U14154,SEA3,chat,account,P1,2026-01-30 20:35:16,125,624,2026-01-30 21:02:34,86400,0,A126
C101885,U18368,DFW2,chat,refund,P3,2026-01-29 11:20:41,124,418,2026-01-29 11:37:14,259200,0,A124
C103594,U10960,DFW2,email,delivery_delay,P3,02/24/2026 13:02,5730,11989,2026-02-24 21:52:38,259200,0,A121
C103421,U12076,JFK5,callback,account,P2,2026-02-21 13:50:53,530,899,21-02-2026 14:12,172800,0,A115
C102286,U5907,PHX1,phone,wrong_item,P3,2026-02-05 16:01:39,189,349,2026-02-10 14:04:18,259200,1,A110
C100726,U11047,DFW2,chat,delivery_delay,P2,2026-01-13 14:59:08,133,641,2026-01-13 15:22:39,172800,0,A141
C103903,U13098,JFK5,callback,account,P2,2026-03-01 17:10:55,777,1240,03/01/2026 17:45,172800,0,A148
C102362,U11098,SEA3,email,delivery_delay,P1,2026-02-06 07:59:53,248,624,2026-02-07 13:21:54,86400,1,A106
C102306,U6084,SEA3,chat,payment,P3,2026-02-05 14:53:43,283,533,2026-02-05 15:06:38,259200,0,A120
C101265,U8119,JFK5,chat,wrong_item,P2,2026-01-21 11:00:24,121,287,2026-01-21 11:13:36,172800,0,A127
C101384,U5596,SEA3,email,payment,P1,22-01-2026 07:19,275,734,2026-01-22 07:35:39,86400,0,A111
C101629,U10873,SEA3,email,account,P3,2026-01-26 18:09:02,636,1056,2026-01-26 18:42:22,259200,0,A124
C102313,U18206,JFK5,chat,delivery_delay,P2,02/05/2026 19:53,41,269,2026-02-05,172800,0,A152
C102294,U18856,PHX1,phone,wrong_item,P3,2026-02-05 10:56:56,216,479,2026-02-05 11:11:58,259200,0,A179
C100748,U7666,PHX1,phone,refund,P2,2026-01-13 07:51:23,204,379,2026-01-13 08:01:56,172800,0,A169
C103585,U6482,JFK5,callback,wrong_item,P2,2026-02-24 17:34:48,457,803,2026-02-24 18:04:05,172800,0,A129
C102984,U12001,SEA3,email,payment,P3,2026-02-15 16:30:28,687,1113,2026-02-15 16:49:32,259200,0,A125
C100718,U13049,JFK5,chat,payment,P2,2026-01-12 11:02:00,208,461,12-01-2026 11:16,172800,0,A146
C101037,U18482,SEA3,chat,payment,P2,01/17/2026 11:34,106,365,2026-01-19 20:23:02,172800,1,A125
C101428,U14382,PHX1,chat,wrong_item,P2,22-01-2026 12:24,110,455,01/22/2026 12:33,172800,0,A119
C100791,U6442,DFW2,chat,delivery_delay,P3,2026-01-13 17:39:06,158,273,01/13/2026 17:49,259200,0,A124
C103686,U17528,PHX1,chat,refund,P3,2026-02-26,193,299,2026-02-26 13:43:00,259200,0,A100
C103521,U7852,DFW2,chat,delivery_delay,P2,2026-02-23 11:13:49,,319,2026-02-23 11:22:02,172800,0,A103
C103374,U14438,DFW2,chat,damaged_item,P2,2026-02-20 10:43:45,116,269,,172800,0,A155
C102017,U5756,DFW2,callback,payment,P2,2026-02-01 22:22:54,216,478,02/01/2026 22:31,172800,0,A118
C103280,U16789,SEA3,chat,delivery_delay,P1,2026-02-19 12:21:10,244,503,2026-02-19 12:44:21,86400,0,A146
C100468,U15003,DFW2,phone,wrong_item,P3,2026-01-08 19:44:51,183,446,08-01-2026 19:58,259200,0,A104
C102753,U8168,JFK5,chat,delivery_delay,P3,2026-02-11 14:48:42,138,684,,259200,0,A137
C101161,U13058,DFW2,chat,wrong_item,P3,19-01-2026 16:59,71,432,2026-01-23 12:04:38,259200,1,A150
C102704,U18553,JFK5,email,,P1,2026-02-11 16:32:21,514,1008,2026-02-11,86400,0,A139
C103921,U14982,DFW2,phone,wrong_item,P2,2026-03-01 19:51:36,491,802,2026-03-04 14:05:25,172800,1,A156
C102113,U15497,PHX1,email,payment,P1,2026-02-02 16:09:03,114,566,02/02/2026 16:30,86400,0,A148
C100187,U11524,DFW2,email,payment,P3,2026-01-04 16:28:21,707,1135,04-01-2026 16:47,259200,0,A140
C100222,U9308,PHX1,chat,damaged_item,P3,2026-01-05 14:10:23,194,614,2026-01-05 14:29:06,259200,0,A173
C103122,U18280,JFK5,callback,wrong_item,P2,17-02-2026 09:53,580,1029,2026-02-17 10:16:02,172800,0,A170
C103728,U9026,SEA3,chat,wrong_item,P2,2026-02-26 13:44:01,181,392,2026-02-26 13:55:32,172800,0,A123
C102504,U6066,SEA3,phone,payment,P1,2026-02-08 06:56:37,252,860,2026-02-08 07:08:10,86400,0,A118
C101386,U8474,DFW2,phone,refund,P3,22-01-2026 21:01,193,476,2026-01-22 21:10:48,259200,0,A121
C100600,U10613,JFK5,email,delivery_delay,P3,2026-01-10 08:19:05,564,1404,2026-01-10 08:59:26,259200,0,A133
C101976,U15974,JFK5,email,damaged_item,P2,30-01-2026 17:09,,1060,2026-01-30 17:34:14,172800,0,A116
C101748,U12939,SEA3,email,wrong_item,P2,2026-01-28 19:02:24,236,1101,28-01-2026 19:40,172800,0,A122
C102740,U12484,JFK5,chat,refund,P2,02/11/2026 21:30,,577,2026-02-11 21:45:09,172800,0,A124
C100299,U16638,DFW2,phone,payment,P2,2026-01-06 12:13:39,,965,2026-01-06 12:46:10,172800,0,A114
C100336,U9157,SEA3,callback,wrong_item,P3,2026-01-06,385,985,2026-01-06 18:07:40,259200,0,A139
C102481,U15991,JFK5,email,account,P2,2026-02-08 12:42:30,,707,2026-02-08 12:52:23,172800,0,A102
C102172,U11910,SEA3,chat,,P3,02/03/2026 18:00,417,691,2026-02-03 18:13:46,259200,0,
C103432,U6103,DFW2,chat,refund,P2,2026-02-22,214,446,2026-02-22,172800,0,A127
C100739,U13144,JFK5,email,payment,P3,2026-01-13 17:20:31,383,803,2026-01-13 17:40:49,259200,0,A168
C100048,U12800,DFW2,email,damaged_item,P2,2026-01-01 16:17:56,,695,2026-01-01 16:41:36,172800,0,A162
C102926,U8266,SEA3,chat,account,P2,02/13/2026 09:04,419,656,02/13/2026 09:24,172800,0,A156
C100505,U16374,JFK5,chat,wrong_item,P3,2026-01-08 15:44:23,,308,2026-01-08 15:57:08,259200,0,A118
C101032,U8630,DFW2,phone,payment,P3,2026-01-17 17:34:03,409,820,2026-01-23 00:38:44,259200,1,A140
C102040,U8719,JFK5,email,refund,P1,2026-02-02 12:24:35,438,970,2026-02-02 12:59:58,86400,0,A110
C103653,U14555,JFK5,callback,refund,P3,2026-02-25 20:22:41,129,473,03/01/2026 13:32,259200,1,A107
C101139,U7761,JFK5,email,wrong_item,P1,19-01-2026 21:27,410,1233,2026-01-19 22:25:12,86400,0,A128
C103189,U6828,SEA3,callback,,P2,2026-02-18 13:30:00,436,951,2026-02-18 13:50:46,172800,0,A154
C103426,U10022,SEA3,chat,wrong_item,P3,2026-02-21 09:47:01,151,237,2026-02-21 09:51:26,259200,0,A144
C100171,U9272,JFK5,email,damaged_item,P3,2026-01-03 09:51:46,500,1160,2026-01-03 10:11:44,259200,0,A170
C101114,U11007,DFW2,phone,,P1,2026-01-18 13:45:28,271,435,01/18/2026 13:55,86400,0,A155
C103073,U13156,DFW2,phone,refund,P2,2026-02-17,120,541,2026-02-17 10:58:49,172800,0,A113
C101322,U10882,PHX1,phone,wrong_item,P3,01/21/2026 17:08,111,534,2026-01-21 17:22:46,259200,0,A170
C102455,U13435,SEA3,callback,refund,P2,2026-02-07 19:48:51,651,1239,,172800,0,A130
C102894,U14632,SEA3,chat,refund,P3,2026-02-13 08:23:10,149,473,16-02-2026 19:04,259200,1,A160
C102959,U13818,JFK5,email,,P2,2026-02-15 19:11:54,,950,2026-02-15 19:37:00,172800,0,A122
C100268,U9278,PHX1,email,damaged_item,P2,2026-01-05 17:35:41,970,1506,2026-01-05 18:30:37,172800,0,A138
C103211,U18931,PHX1,chat,account,P2,2026-02-18 07:35:43,120,377,2026-02-18 07:42:51,172800,0,A109
C101835,U18882,PHX1,chat,delivery_delay,P2,29-01-2026 06:40,141,299,2026-01-29 06:50:57,172800,0,A112
C102854,U11014,JFK5,phone,payment,P2,2026-02-12 15:10:48,257,483,2026-02-12 15:24:50,172800,0,A109
C100469,U6567,JFK5,email,delivery_delay,P2,2026-01-08 11:45:31,528,1232,01/08/2026 12:14,172800,0,A179
C102581,U7463,SEA3,chat,account,P2,2026-02-09 15:45:28,132,527,09-02-2026 16:07,172800,0,A134
C102921,U12504,JFK5,email,damaged_item,P2,2026-02-13 10:36:19,474,908,2026-02-13,172800,0,A161
C103539,U11891,PHX1,chat,,P2,02/24/2026 10:25,248,529,2026-02-24 10:43:59,172800,0,A121
C101349,U18072,DFW2,phone,payment,P2,01/22/2026 11:31,209,641,2026-01-22 11:57:12,172800,0,A150
C101929,U11308,JFK5,phone,refund,P2,01/30/2026 20:37,416,652,,172800,0,A159
C100514,U11958,DFW2,phone,refund,P1,2026-01-09,369,646,2026-01-09 10:07:13,86400,0,A163
C102420,U15526,SEA3,phone,refund,P2,2026-02-06 17:45:55,83,513,2026-02-06 17:58:10,172800,0,
C101705,U12264,PHX1,chat,account,P2,01/27/2026 13:59,8359,17504,2026-01-27 22:35:48,172800,0,A105
C100991,U10634,PHX1,phone,refund,P1,2026-01-16 18:40:03,169,543,01/16/2026 18:58,86400,0,A124
C100616,U18683,PHX1,email,damaged_item,P2,01/11/2026 10:30,772,1580,2026-01-11 10:52:23,172800,0,A171
C101036,U13004,SEA3,email,wrong_item,P1,2026-01-17 14:38:00,,783,19-01-2026 08:11,86400,1,A108
C100167,U15595,SEA3,phone,wrong_item,P3,2026-01-03 13:19:54,157,726,03-01-2026 13:32,259200,0,A110
C101505,U5768,JFK5,callback,damaged_item,P2,01/23/2026 20:16,200,479,2026-01-23,172800,0,A120
C100833,U9749,PHX1,chat,account,P2,2026-01-14 08:36:05,214,475,2026-01-14 08:49:14,172800,0,A132
C103909,U8500,JFK5,chat,payment,P2,2026-03-01 17:11:59,,363,2026-03-04 22:54:30,172800,1,A159
C102062,U11824,PHX1,chat,wrong_item,P2,2026-02-02 06:44:38,114,280,,172800,0,A135
C103807,U17179,PHX1,email,account,P2,27-02-2026 14:05,550,1292,2026-02-27 15:01:40,172800,0,A171
C100303,U14640,SEA3,chat,account,P3,2026-01-06 07:00:47,300,644,06-01-2026 07:25,259200,0,A169
C101962,U7696,DFW2,email,account,P3,2026-01-30 21:48:24,488,1042,2026-01-30 22:31:26,259200,0,A140
C101698,U10264,PHX1,phone,refund,P2,01/27/2026 10:23,409,813,,172800,0,A169
C102860,U10071,PHX1,phone,account,P2,2026-02-12 06:27:26,306,686,2026-02-12 06:48:02,172800,0,
C102542,U15255,PHX1,phone,wrong_item,P3,2026-02-09 13:29:35,314,614,2026-02-09 13:44:45,259200,0,
C100864,U11699,PHX1,chat,damaged_item,P2,2026-01-14 13:45:18,,589,2026-01-14 14:02:01,172800,0,A157
C103919,U5554,JFK5,phone,payment,P2,2026-03-01 13:09:45,66,340,2026-03-01 13:14:38,172800,0,A131
C100776,U9018,JFK5,phone,wrong_item,P2,13-01-2026 18:01,294,491,2026-01-13 18:14:54,172800,0,A148
C103283,U16049,JFK5,email,wrong_item,P2,2026-02-19 21:26:44,549,1437,,172800,1,A147
C100895,U8703,SEA3,phone,refund,P3,15-01-2026 08:00,295,638,2026-01-19 23:16:37,259200,1,A144
C103132,U8397,DFW2,email,payment,P3,2026-02-18 07:12:04,331,739,2026-02-18 07:32:45,259200,0,A170
C102504,U6066,SEA3,phone,payment,P1,2026-02-08 06:56:37,252,860,2026-02-08 07:08:10,86400,0,A118
C103691,U7971,PHX1,phone,refund,P3,26-02-2026 19:30,249,814,2026-02-26 19:58:59,259200,0,A116
C103474,U14172,DFW2,chat,damaged_item,P3,2026-02-23 06:53:38,292,495,2026-02-23 07:06:36,259200,0,A167
C100444,U17278,SEA3,phone,account,P3,2026-01-08 21:29:32,362,661,01/14/2026 03:12,259200,1,A138
C102442,U18371,JFK5,chat,account,P3,2026-02-07 20:13:17,254,576,2026-02-07 20:23:21,259200,0,A152
C100620,U9292,DFW2,email,refund,P2,2026-01-11 08:22:01,207,1257,2026-01-11 08:43:04,172800,0,A122
C101443,U6468,DFW2,email,account,P1,01/23/2026 20:29,388,790,2026-01-23 20:58:26,86400,0,A153
C103900,U7851,JFK5,phone,payment,P3,2026-03-01 20:40:52,392,674,2026-03-05 12:46:10,259200,1,A175
C103429,U10348,DFW2,callback,wrong_item,P3,2026-02-22 12:10:16,509,1112,2026-02-22,259200,0,A152
C102832,U13309,SEA3,phone,wrong_item,P3,02/12/2026 22:07,67,438,02/12/2026 22:19,259200,0,A150
C103696,U10123,DFW2,email,wrong_item,P3,2026-02-26 06:27:29,414,759,26-02-2026 06:49,259200,0,A131
C100176,U8984,JFK5,chat,,P2,2026-01-03 09:33:09,,356,01/03/2026 09:44,172800,0,A128
C102034,U18285,DFW2,chat,wrong_item,P3,2026-02-01 10:39:25,85,452,2026-02-01 10:49:09,259200,0,A114
C103118,U13283,JFK5,phone,payment,P2,2026-02-17 17:59:31,134,800,2026-02-17 18:15:32,172800,0,A178
C100300,U15981,JFK5,email,payment,P3,2026-01-06 17:35:30,569,1385,2026-01-06 18:01:53,259200,0,A107
C103519,U16926,DFW2,email,delivery_delay,P3,2026-02-23 20:48:23,782,1336,2026-02-23 21:24:59,259200,0,A135
C100175,U7937,JFK5,email,wrong_item,P1,03-01-2026 21:01,9640,19322,2026-01-04 03:53:58,86400,0,A113
C103592,U10111,SEA3,chat,refund,P2,2026-02-24 17:54:55,118,692,2026-02-24 18:21:55,172800,0,A168
C102804,U18395,PHX1,phone,payment,P2,02/12/2026 08:21,195,776,2026-02-12 08:56:55,172800,0,A165
C100389,U6467,DFW2,phone,refund,P2,2026-01-07 12:31:25,295,548,2026-01-07 12:46:29,172800,0,A114
C100219,U7545,DFW2,email,wrong_item,P1,2026-01-05,206,1088,2026-01-05,86400,0,A168
C102823,U18660,DFW2,chat,refund,P2,2026-02-12 06:37:35,154,345,02/12/2026 06:48,172800,0,A114
C103383,U8367,SEA3,chat,,P2,2026-02-20 14:51:18,67,299,2026-02-20 15:01:22,172800,0,A135
C102518,U9229,PHX1,chat,payment,P3,02/09/2026 10:15,,529,2026-02-09 10:38:00,259200,0,A128
C103143,U7833,PHX1,chat,refund,P2,2026-02-18 22:39:10,160,675,2026-02-18 23:02:56,172800,0,A117
C100247,U9345,PHX1,callback,refund,P2,2026-01-05 08:15:22,592,1261,2026-01-05 09:10:09,172800,0,A126
C103827,U12930,DFW2,chat,damaged_item,P2,2026-02-27,409,667,2026-02-27 15:06:05,172800,0,A124
C101590,U18385,DFW2,email,delivery_delay,P2,2026-01-26 19:49:41,214,1124,2026-01-26 20:35:59,172800,0,A152
C102917,U14889,SEA3,chat,payment,P3,02/13/2026 07:29,222,388,2026-02-13 07:43:47,259200,0,A109
C103295,U5380,JFK5,phone,wrong_item,P2,2026-02-19 22:04:56,197,467,2026-02-19 22:17:01,172800,0,A154
C103354,U14003,JFK5,phone,delivery_delay,P2,2026-02-20 20:38:27,313,722,2026-02-20 21:04:24,172800,0,A159
C102820,U14992,DFW2,chat,refund,P2,2026-02-12 21:26:37,212,472,2026-02-12 21:45:46,172800,0,A170
C100872,U18786,JFK5,phone,payment,P3,2026-01-14 14:29:40,208,339,2026-01-14 14:43:30,259200,0,A171
C100795,U8078,PHX1,phone,refund,P3,2026-01-14 13:42:41,126,806,01/14/2026 14:02,259200,0,A162
C102940,U8644,DFW2,chat,wrong_item,P2,2026-02-14 20:45:00,,8005,02/17/2026 12:29,172800,1,A128
C102969,U17385,PHX1,chat,payment,P2,2026-02-15 22:36:12,83,455,2026-02-15 22:50:23,172800,0,A121
C102641,U14742,SEA3,phone,payment,P2,2026-02-10,387,613,,172800,0,A146
C102769,U7013,DFW2,chat,account,P3,2026-02-11 10:13:45,153,282,2026-02-11 10:19:02,259200,0,A127
C100124,U11095,SEA3,chat,payment,P2,2026-01-02 07:08:04,319,706,2026-01-02 07:34:35,172800,0,A156
C102857,U9554,PHX1,phone,delivery_delay,P2,2026-02-12 09:23:15,352,567,2026-02-12 09:34:51,172800,0,
C100608,U6340,JFK5,chat,payment,P2,2026-01-10 17:33:48,,690,01/10/2026 17:42,172800,0,A173
C100631,U8728,PHX1,chat,wrong_item,P3,2026-01-11 15:18:52,297,461,2026-01-11 15:33:28,259200,0,A129
C102573,U15065,PHX1,phone,damaged_item,P3,2026-02-09 20:13:27,275,598,2026-02-09 20:32:31,259200,0,A101
C102387,U7877,JFK5,email,account,P1,2026-02-06 22:45:34,658,1078,2026-02-06 23:23:49,86400,0,A168
C100959,U17736,JFK5,email,refund,P2,2026-01-16 21:12:06,312,539,,172800,0,A124
C101351,U10825,PHX1,email,refund,P1,01/22/2026 06:17,167,833,01/22/2026 06:36,86400,0,A174
C100789,U16849,PHX1,phone,wrong_item,P1,2026-01-13 20:18:08,119,645,2026-01-13 20:31:41,86400,0,A138
C100801,U6659,PHX1,email,refund,P1,2026-01-14 07:57:02,498,1084,2026-01-14 08:38:53,86400,0,A128
C103406,U16740,JFK5,chat,delivery_delay,P2,2026-02-21 14:25:23,393,613,2026-02-21 14:43:47,172800,0,A137
C102899,U13537,JFK5,phone,wrong_item,P2,2026-02-13 12:55:08,192,392,02/13/2026 13:07,172800,0,A165
C100122,U10776,SEA3,chat,damaged_item,P2,2026-01-02 16:06:05,99,305,02-01-2026 16:12,172800,0,A178
C100012,U8750,JFK5,email,refund,P2,2026-01-01 20:57:33,149,563,2026-01-04 22:57:51,172800,1,A108
C100233,U6551,DFW2,email,payment,P2,2026-01-05 13:22:25,336,583,2026-01-05 13:42:17,172800,0,A159
C102367,U18721,SEA3,phone,payment,P2,2026-02-06 18:47:36,412,846,2026-02-06,172800,0,A167
C103467,U9737,PHX1,email,delivery_delay,P2,22-02-2026 19:37,487,1572,2026-02-22 20:14:55,172800,0,A102
C101065,U16515,DFW2,email,delivery_delay,P2,2026-01-17,445,1059,01/17/2026 08:02,172800,0,A109
