created_date,agent_id,team,manager,handled_cases,avg_handle_seconds,sla_breach_pct
2026-01-01,A166,T2_delivery,M-Kim,2,749.00,0.00
2026-01-01,A167,T2_delivery,M-Javier,1,1559.00,0.00
2026-01-01,A168,T3_accounts,M-Anika,2,542.50,0.00
2026-01-01,A169,T3_accounts,M-Kim,3,536.00,0.00
2026-01-01,A170,T3_accounts,M-Javier,1,979.00,0.00
2026-01-01,A174,T2_delivery,M-Kim,1,855.00,0.00
2026-01-01,A177,T2_delivery,M-Javier,1,522.00,0.00
2026-01-01,A179,T2_delivery,M-Javier,1,454.00,0.00
2026-01-01,A999,unknown,unknown,3,637.67,0.00
2026-01-02,A102,T1_returns,M-Rita,1,781.00,0.00
2026-01-02,A104,T3_accounts,M-Javier,2,679.00,0.00
2026-01-02,A108,T1_returns,M-Rita,1,512.00,0.00
2026-01-02,A109,T3_accounts,M-Rita,2,579.00,0.00
2026-01-02,A110,T2_delivery,M-Anika,1,693.00,0.00
2026-01-02,A111,T1_returns,M-Anika,1,932.00,0.00
2026-01-02,A114,T2_delivery,M-Anika,1,647.00,0.00
2026-01-02,A116,T2_delivery,M-Kim,1,653.00,0.00
2026-01-02,A117,T2_delivery,M-Kim,3,543.33,0.00
2026-01-02,A118,T1_returns,M-Javier,2,992.00,0.00
2026-01-02,A119,T3_accounts,M-Kim,3,471.67,0.00
2026-01-02,A120,T2_delivery,M-Kim,1,655.00,0.00
2026-01-02,A122,T3_accounts,M-Rita,1,11914.00,0.00
2026-01-02,A124,T1_returns,M-Javier,1,827.00,0.00
2026-01-02,A126,T3_accounts,M-Rita,2,646.00,0.00
2026-01-02,A127,T1_returns,M-Anika,2,702.00,0.00
2026-01-02,A128,T3_accounts,M-Anika,1,889.00,0.00
2026-01-02,A129,T1_returns,M-Anika,1,519.00,0.00
2026-01-02,A131,T1_returns,M-Rita,1,1271.00,0.00
2026-01-02,A132,T3_accounts,M-Anika,2,465.50,0.00
2026-01-02,A134,T2_delivery,M-Kim,1,923.00,0.00
2026-01-02,A137,T2_delivery,M-Kim,3,825.67,0.00
2026-01-02,A139,T3_accounts,M-Rita,1,1386.00,0.00
2026-01-02,A140,T1_returns,M-Javier,2,604.00,0.00
2026-01-02,A141,T2_delivery,M-Rita,1,368.00,0.00
2026-01-02,A142,T1_returns,M-Kim,1,950.00,0.00
2026-01-02,A143,T1_returns,M-Rita,1,676.00,0.00
2026-01-02,A144,T2_delivery,M-Rita,1,776.00,0.00
2026-01-02,A145,T2_delivery,M-Anika,1,414.00,0.00
2026-01-02,A146,T2_delivery,M-Rita,2,461.00,0.00
2026-01-02,A147,T3_accounts,M-Kim,2,530.00,0.00
2026-01-02,A148,T2_delivery,M-Kim,1,1085.00,0.00
2026-01-02,A150,T3_accounts,M-Kim,2,987.00,0.00
2026-01-02,A152,T2_delivery,M-Anika,1,963.00,0.00
2026-01-02,A153,T2_delivery,M-Kim,1,893.00,0.00
2026-01-02,A154,T2_delivery,M-Kim,1,958.00,0.00
2026-01-02,A155,T2_delivery,M-Javier,2,295.50,0.00
2026-01-02,A156,T2_delivery,M-Javier,1,780.00,0.00
2026-01-02,A158,T2_delivery,M-Kim,1,595.00,0.00
2026-01-02,A159,T3_accounts,M-Javier,1,1004.00,0.00
2026-01-02,A160,T2_delivery,M-Kim,2,1311.00,0.00
2026-01-02,A161,T3_accounts,M-Kim,1,504.00,0.00
2026-01-02,A162,T1_returns,M-Kim,1,11914.00,0.00
2026-01-02,A163,T2_delivery,M-Anika,4,657.50,0.00
2026-01-02,A164,T1_returns,M-Anika,1,787.00,0.00
2026-01-02,A165,T2_delivery,M-Anika,2,356.50,0.00
2026-01-02,A166,T2_delivery,M-Kim,2,761.00,0.00
2026-01-02,A167,T2_delivery,M-Javier,4,1110.00,0.00
2026-01-02,A169,T3_accounts,M-Kim,2,567.00,0.00
2026-01-02,A170,T3_accounts,M-Javier,2,822.50,0.00
2026-01-02,A171,T2_delivery,M-Javier,2,511.00,0.00
2026-01-02,A172,T2_delivery,M-Rita,1,307.00,0.00
2026-01-02,A173,T1_returns,M-Anika,2,1072.50,0.00
2026-01-02,A175,T1_returns,M-Anika,1,961.00,0.00
2026-01-02,A177,T2_delivery,M-Javier,1,594.00,0.00
2026-01-02,A178,T1_returns,M-Kim,2,526.50,0.00
2026-01-02,A179,T2_delivery,M-Javier,1,1111.00,0.00
2026-01-02,A999,unknown,unknown,2,799.00,0.00
2026-01-03,A101,T2_delivery,M-Rita,1,699.00,0.00
2026-01-03,A107,T2_delivery,M-Rita,1,430.00,0.00
2026-01-03,A114,T2_delivery,M-Anika,2,485.00,0.00
2026-01-03,A117,T2_delivery,M-Kim,1,954.00,0.00
2026-01-03,A119,T3_accounts,M-Kim,1,646.00,0.00
2026-01-03,A125,T3_accounts,M-Rita,1,428.00,0.00
2026-01-03,A126,T3_accounts,M-Rita,1,335.00,0.00
2026-01-03,A128,T3_accounts,M-Anika,1,421.00,0.00
2026-01-03,A133,T1_returns,M-Javier,1,898.00,0.00
2026-01-03,A134,T2_delivery,M-Kim,1,555.00,0.00
2026-01-03,A135,T3_accounts,M-Kim,1,964.00,0.00
2026-01-03,A138,T1_returns,M-Rita,1,1191.00,0.00
2026-01-03,A144,T2_delivery,M-Rita,1,513.00,0.00
2026-01-03,A148,T2_delivery,M-Kim,1,683.00,0.00
2026-01-03,A152,T2_delivery,M-Anika,1,698.00,0.00
2026-01-03,A153,T2_delivery,M-Kim,1,847.00,0.00
2026-01-03,A160,T2_delivery,M-Kim,1,982.00,0.00
2026-01-03,A165,T2_delivery,M-Anika,1,706.00,0.00
2026-01-03,A174,T2_delivery,M-Kim,2,1041.00,0.00
2026-01-03,A176,T2_delivery,M-Anika,1,850.00,0.00
2026-01-03,A178,T1_returns,M-Kim,1,1210.00,0.00
2026-01-03,A999,unknown,unknown,3,766.67,0.00
2026-01-04,A101,T2_delivery,M-Rita,1,267.00,0.00
2026-01-04,A106,T1_returns,M-Anika,1,546.00,0.00
2026-01-04,A110,T2_delivery,M-Anika,1,566.00,0.00
2026-01-04,A113,T1_returns,M-Anika,1,11914.00,0.00
2026-01-04,A117,T2_delivery,M-Kim,1,376.00,0.00
2026-01-04,A118,T1_returns,M-Javier,2,555.50,0.00
2026-01-04,A124,T1_returns,M-Javier,1,692.00,0.00
2026-01-04,A138,T1_returns,M-Rita,1,1300.00,0.00
2026-01-04,A140,T1_returns,M-Javier,1,798.00,0.00
2026-01-04,A141,T2_delivery,M-Rita,1,394.00,0.00
2026-01-04,A148,T2_delivery,M-Kim,1,866.00,0.00
2026-01-04,A149,T1_returns,M-Javier,1,357.00,0.00
2026-01-04,A150,T3_accounts,M-Kim,1,524.00,0.00
2026-01-04,A153,T2_delivery,M-Kim,1,374.00,0.00
2026-01-04,A161,T3_accounts,M-Kim,1,492.00,0.00
2026-01-04,A162,T1_returns,M-Kim,1,250.00,0.00
2026-01-04,A163,T2_delivery,M-Anika,2,517.00,0.00
2026-01-04,A165,T2_delivery,M-Anika,1,272.00,0.00
2026-01-04,A169,T3_accounts,M-Kim,1,771.00,0.00
2026-01-04,A171,T2_delivery,M-Javier,2,738.50,0.00
2026-01-04,A172,T2_delivery,M-Rita,2,598.00,0.00
2026-01-04,A173,T1_returns,M-Anika,1,806.00,0.00
2026-01-04,A175,T1_returns,M-Anika,1,976.00,0.00
2026-01-04,A177,T2_delivery,M-Javier,1,712.00,0.00
2026-01-05,A101,T2_delivery,M-Rita,1,1484.00,0.00
2026-01-05,A106,T1_returns,M-Anika,1,485.00,0.00
2026-01-05,A107,T2_delivery,M-Rita,3,733.00,0.00
2026-01-05,A108,T1_returns,M-Rita,3,596.67,0.00
2026-01-05,A109,T3_accounts,M-Rita,1,359.00,0.00
2026-01-05,A110,T2_delivery,M-Anika,1,527.00,0.00
2026-01-05,A111,T1_returns,M-Anika,1,962.00,0.00
2026-01-05,A112,T3_accounts,M-Kim,1,1112.00,0.00
2026-01-05,A113,T1_returns,M-Anika,3,4385.67,0.00
2026-01-05,A114,T2_delivery,M-Anika,1,1273.00,0.00
2026-01-05,A115,T1_returns,M-Kim,1,634.00,0.00
2026-01-05,A116,T2_delivery,M-Kim,3,800.00,0.00
2026-01-05,A117,T2_delivery,M-Kim,1,930.00,0.00
2026-01-05,A119,T3_accounts,M-Kim,2,1009.50,0.00
2026-01-05,A120,T2_delivery,M-Kim,2,747.00,0.00
2026-01-05,A122,T3_accounts,M-Rita,1,744.00,0.00
2026-01-05,A123,T3_accounts,M-Javier,1,474.00,0.00
2026-01-05,A127,T1_returns,M-Anika,1,497.00,0.00
2026-01-05,A128,T3_accounts,M-Anika,2,855.50,0.00
2026-01-05,A129,T1_returns,M-Anika,1,1528.00,0.00
2026-01-05,A130,T1_returns,M-Rita,2,509.00,0.00
2026-01-05,A131,T1_returns,M-Rita,1,615.00,0.00
2026-01-05,A133,T1_returns,M-Javier,1,494.00,0.00
2026-01-05,A135,T3_accounts,M-Kim,2,568.50,0.00
2026-01-05,A140,T1_returns,M-Javier,2,600.00,0.00
2026-01-05,A143,T1_returns,M-Rita,2,514.00,0.00
2026-01-05,A145,T2_delivery,M-Anika,2,802.00,0.00
2026-01-05,A150,T3_accounts,M-Kim,3,632.33,0.00
2026-01-05,A151,T2_delivery,M-Anika,1,502.00,0.00
2026-01-05,A152,T2_delivery,M-Anika,1,1093.00,0.00
2026-01-05,A156,T2_delivery,M-Javier,2,648.00,0.00
2026-01-05,A158,T2_delivery,M-Kim,1,279.00,0.00
2026-01-05,A160,T2_delivery,M-Kim,1,928.00,0.00
2026-01-05,A161,T3_accounts,M-Kim,2,1057.50,0.00
2026-01-05,A162,T1_returns,M-Kim,1,559.00,0.00
2026-01-05,A170,T3_accounts,M-Javier,2,482.00,0.00
2026-01-05,A172,T2_delivery,M-Rita,1,387.00,0.00
2026-01-05,A173,T1_returns,M-Anika,1,411.00,0.00
2026-01-05,A174,T2_delivery,M-Kim,1,382.00,0.00
2026-01-05,A175,T1_returns,M-Anika,2,736.50,0.00
2026-01-05,A177,T2_delivery,M-Javier,1,1027.00,0.00
2026-01-05,A178,T1_returns,M-Kim,1,956.00,0.00
2026-01-05,A179,T2_delivery,M-Javier,1,861.00,0.00
2026-01-05,A999,unknown,unknown,6,2154.33,0.00
2026-01-06,A100,T3_accounts,M-Kim,1,548.00,0.00
2026-01-06,A101,T2_delivery,M-Rita,1,620.00,0.00
2026-01-06,A104,T3_accounts,M-Javier,2,1132.00,0.00
2026-01-06,A107,T2_delivery,M-Rita,2,673.00,0.00
2026-01-06,A111,T1_returns,M-Anika,3,826.00,0.00
2026-01-06,A113,T1_returns,M-Anika,1,1475.00,0.00
2026-01-06,A115,T1_returns,M-Kim,1,580.00,0.00
2026-01-06,A116,T2_delivery,M-Kim,2,708.00,0.00
2026-01-06,A118,T1_returns,M-Javier,1,938.00,0.00
2026-01-06,A120,T2_delivery,M-Kim,1,1300.00,0.00
2026-01-06,A123,T3_accounts,M-Javier,1,667.00,0.00
2026-01-06,A124,T1_returns,M-Javier,1,797.00,0.00
2026-01-06,A125,T3_accounts,M-Rita,1,491.00,0.00
2026-01-06,A127,T1_returns,M-Anika,1,423.00,0.00
2026-01-06,A128,T3_accounts,M-Anika,1,704.00,0.00
2026-01-06,A133,T1_returns,M-Javier,3,630.00,0.00
2026-01-06,A136,T3_accounts,M-Anika,1,1549.00,0.00
2026-01-06,A137,T2_delivery,M-Kim,2,606.50,0.00
2026-01-06,A138,T1_returns,M-Rita,1,659.00,0.00
2026-01-06,A139,T3_accounts,M-Rita,1,962.00,0.00
2026-01-06,A141,T2_delivery,M-Rita,1,725.00,0.00
2026-01-06,A147,T3_accounts,M-Kim,1,695.00,0.00
2026-01-06,A149,T1_returns,M-Javier,2,744.50,0.00
2026-01-06,A150,T3_accounts,M-Kim,1,274.00,0.00
2026-01-06,A151,T2_delivery,M-Anika,1,669.00,0.00
2026-01-06,A152,T2_delivery,M-Anika,1,658.00,0.00
2026-01-06,A153,T2_delivery,M-Kim,1,558.00,0.00
2026-01-06,A154,T2_delivery,M-Kim,2,540.50,0.00
2026-01-06,A155,T2_delivery,M-Javier,1,647.00,0.00
2026-01-06,A157,T1_returns,M-Rita,2,589.50,0.00
2026-01-06,A160,T2_delivery,M-Kim,2,476.50,0.00
2026-01-06,A161,T3_accounts,M-Kim,1,963.00,0.00
2026-01-06,A165,T2_delivery,M-Anika,1,601.00,0.00
2026-01-06,A166,T2_delivery,M-Kim,2,492.50,0.00
2026-01-06,A168,T3_accounts,M-Anika,2,1025.50,0.00
2026-01-06,A169,T3_accounts,M-Kim,1,605.00,0.00
2026-01-06,A170,T3_accounts,M-Javier,1,524.00,0.00
2026-01-06,A171,T2_delivery,M-Javier,1,1264.00,0.00
2026-01-06,A173,T1_returns,M-Anika,2,308.50,0.00
2026-01-06,A174,T2_delivery,M-Kim,2,688.00,0.00
2026-01-06,A175,T1_returns,M-Anika,1,644.00,0.00
2026-01-06,A176,T2_delivery,M-Anika,1,389.00,0.00
2026-01-06,A178,T1_returns,M-Kim,1,324.00,0.00
2026-01-06,A179,T2_delivery,M-Javier,3,4402.33,0.00
2026-01-06,A999,unknown,unknown,5,925.40,0.00
2026-01-07,A100,T3_accounts,M-Kim,2,323.00,0.00
2026-01-07,A101,T2_delivery,M-Rita,3,397.67,0.00
2026-01-07,A102,T1_returns,M-Rita,2,868.00,0.00
2026-01-07,A103,T2_delivery,M-Anika,1,733.00,0.00
2026-01-07,A104,T3_accounts,M-Javier,2,724.00,0.00
2026-01-07,A105,T1_returns,M-Javier,1,497.00,0.00
2026-01-07,A109,T3_accounts,M-Rita,1,1028.00,0.00
2026-01-07,A110,T2_delivery,M-Anika,1,611.00,0.00
2026-01-07,A112,T3_accounts,M-Kim,2,658.00,0.00
2026-01-07,A113,T1_returns,M-Anika,3,522.67,0.00
2026-01-07,A115,T1_returns,M-Kim,2,829.00,0.00
2026-01-07,A118,T1_returns,M-Javier,3,658.33,0.00
2026-01-07,A119,T3_accounts,M-Kim,1,1420.00,0.00
2026-01-07,A120,T2_delivery,M-Kim,2,1107.00,0.00
2026-01-07,A121,T3_accounts,M-Kim,2,696.00,0.00
2026-01-07,A122,T3_accounts,M-Rita,1,1077.00,0.00
2026-01-07,A123,T3_accounts,M-Javier,1,636.00,0.00
2026-01-07,A126,T3_accounts,M-Rita,1,1541.00,0.00
2026-01-07,A128,T3_accounts,M-Anika,2,4869.00,0.00
2026-01-07,A129,T1_returns,M-Anika,3,534.00,0.00
2026-01-07,A132,T3_accounts,M-Anika,3,728.33,0.00
2026-01-07,A133,T1_returns,M-Javier,3,494.67,0.00
2026-01-07,A134,T2_delivery,M-Kim,3,628.00,0.00
2026-01-07,A135,T3_accounts,M-Kim,1,718.00,0.00
2026-01-07,A136,T3_accounts,M-Anika,3,513.00,0.00
2026-01-07,A137,T2_delivery,M-Kim,1,756.00,0.00
2026-01-07,A140,T1_returns,M-Javier,1,556.00,0.00
2026-01-07,A143,T1_returns,M-Rita,1,1300.00,0.00
2026-01-07,A145,T2_delivery,M-Anika,1,1578.00,0.00
2026-01-07,A147,T3_accounts,M-Kim,2,729.00,0.00
2026-01-07,A148,T2_delivery,M-Kim,2,520.50,0.00
2026-01-07,A149,T1_returns,M-Javier,1,539.00,0.00
2026-01-07,A150,T3_accounts,M-Kim,2,804.50,0.00
2026-01-07,A151,T2_delivery,M-Anika,1,1541.00,0.00
2026-01-07,A154,T2_delivery,M-Kim,1,575.00,0.00
2026-01-07,A155,T2_delivery,M-Javier,1,260.00,0.00
2026-01-07,A158,T2_delivery,M-Kim,1,1370.00,0.00
2026-01-07,A159,T3_accounts,M-Javier,1,361.00,0.00
2026-01-07,A160,T2_delivery,M-Kim,1,904.00,0.00
2026-01-07,A161,T3_accounts,M-Kim,3,790.67,0.00
2026-01-07,A163,T2_delivery,M-Anika,1,572.00,0.00
2026-01-07,A166,T2_delivery,M-Kim,1,1075.00,0.00
2026-01-07,A170,T3_accounts,M-Javier,2,774.50,0.00
2026-01-07,A171,T2_delivery,M-Javier,2,6640.00,0.00
2026-01-07,A173,T1_returns,M-Anika,2,808.00,0.00
2026-01-07,A174,T2_delivery,M-Kim,1,268.00,0.00
2026-01-07,A175,T1_returns,M-Anika,1,1196.00,0.00
2026-01-07,A176,T2_delivery,M-Anika,3,1111.33,0.00
2026-01-07,A177,T2_delivery,M-Javier,1,489.00,0.00
2026-01-07,A178,T1_returns,M-Kim,1,683.00,0.00
2026-01-07,A999,unknown,unknown,4,3403.25,0.00
2026-01-08,A100,T3_accounts,M-Kim,1,888.00,0.00
2026-01-08,A101,T2_delivery,M-Rita,1,832.00,0.00
2026-01-08,A103,T2_delivery,M-Anika,1,621.00,0.00
2026-01-08,A104,T3_accounts,M-Javier,2,881.50,0.00
2026-01-08,A105,T1_returns,M-Javier,1,927.00,0.00
2026-01-08,A109,T3_accounts,M-Rita,2,631.00,0.00
2026-01-08,A111,T1_returns,M-Anika,1,1093.00,0.00
2026-01-08,A113,T1_returns,M-Anika,1,489.00,0.00
2026-01-08,A114,T2_delivery,M-Anika,1,349.00,0.00
2026-01-08,A116,T2_delivery,M-Kim,1,617.00,0.00
2026-01-08,A117,T2_delivery,M-Kim,1,650.00,0.00
2026-01-08,A119,T3_accounts,M-Kim,1,894.00,0.00
2026-01-08,A120,T2_delivery,M-Kim,1,671.00,0.00
2026-01-08,A121,T3_accounts,M-Kim,2,705.00,0.00
2026-01-08,A124,T1_returns,M-Javier,1,515.00,0.00
2026-01-08,A127,T1_returns,M-Anika,2,954.50,0.00
2026-01-08,A129,T1_returns,M-Anika,1,424.00,0.00
2026-01-08,A134,T2_delivery,M-Kim,1,855.00,0.00
2026-01-08,A137,T2_delivery,M-Kim,1,251.00,0.00
2026-01-08,A140,T1_returns,M-Javier,2,1132.00,0.00
2026-01-08,A141,T2_delivery,M-Rita,1,481.00,0.00
2026-01-08,A142,T1_returns,M-Kim,3,715.67,0.00
2026-01-08,A145,T2_delivery,M-Anika,2,750.50,0.00
2026-01-08,A146,T2_delivery,M-Rita,1,537.00,0.00
2026-01-08,A147,T3_accounts,M-Kim,1,583.00,0.00
2026-01-08,A150,T3_accounts,M-Kim,1,484.00,0.00
2026-01-08,A155,T2_delivery,M-Javier,1,661.00,0.00
2026-01-08,A156,T2_delivery,M-Javier,1,1021.00,0.00
2026-01-08,A157,T1_returns,M-Rita,2,556.50,0.00
2026-01-08,A158,T2_delivery,M-Kim,1,719.00,0.00
2026-01-08,A159,T3_accounts,M-Javier,2,770.00,0.00
2026-01-08,A161,T3_accounts,M-Kim,1,720.00,0.00
2026-01-08,A162,T1_returns,M-Kim,1,874.00,0.00
2026-01-08,A163,T2_delivery,M-Anika,1,1307.00,0.00
2026-01-08,A165,T2_delivery,M-Anika,2,307.50,0.00
2026-01-08,A166,T2_delivery,M-Kim,2,1523.00,0.00
2026-01-08,A167,T2_delivery,M-Javier,2,852.00,0.00
2026-01-08,A169,T3_accounts,M-Kim,1,538.00,0.00
2026-01-08,A170,T3_accounts,M-Javier,2,1315.00,0.00
2026-01-08,A171,T2_delivery,M-Javier,1,1122.00,0.00
2026-01-08,A173,T1_returns,M-Anika,3,746.00,0.00
2026-01-08,A174,T2_delivery,M-Kim,1,1078.00,0.00
2026-01-08,A175,T1_returns,M-Anika,1,845.00,0.00
2026-01-08,A176,T2_delivery,M-Anika,1,880.00,0.00
2026-01-08,A177,T2_delivery,M-Javier,1,1255.00,0.00
2026-01-08,A178,T1_returns,M-Kim,1,831.00,0.00
2026-01-08,A999,unknown,unknown,2,698.50,0.00
2026-01-09,A102,T1_returns,M-Rita,1,706.00,0.00
2026-01-09,A104,T3_accounts,M-Javier,1,475.00,0.00
2026-01-09,A106,T1_returns,M-Anika,1,628.00,0.00
2026-01-09,A107,T2_delivery,M-Rita,1,1568.00,0.00
2026-01-09,A108,T1_returns,M-Rita,1,464.00,0.00
2026-01-09,A111,T1_returns,M-Anika,3,468.33,0.00
2026-01-09,A112,T3_accounts,M-Kim,1,437.00,0.00
2026-01-09,A113,T1_returns,M-Anika,3,431.00,0.00
2026-01-09,A115,T1_returns,M-Kim,2,639.50,0.00
2026-01-09,A116,T2_delivery,M-Kim,2,666.50,0.00
2026-01-09,A119,T3_accounts,M-Kim,2,760.50,0.00
2026-01-09,A120,T2_delivery,M-Kim,1,793.00,0.00
2026-01-09,A123,T3_accounts,M-Javier,1,719.00,0.00
2026-01-09,A124,T1_returns,M-Javier,2,734.50,0.00
2026-01-09,A133,T1_returns,M-Javier,2,655.50,0.00
2026-01-09,A134,T2_delivery,M-Kim,2,695.50,0.00
2026-01-09,A135,T3_accounts,M-Kim,1,1188.00,0.00
2026-01-09,A136,T3_accounts,M-Anika,1,886.00,0.00
2026-01-09,A137,T2_delivery,M-Kim,1,11914.00,0.00
2026-01-09,A138,T1_returns,M-Rita,2,662.00,0.00
2026-01-09,A141,T2_delivery,M-Rita,2,845.00,0.00
2026-01-09,A142,T1_returns,M-Kim,1,907.00,0.00
2026-01-09,A143,T1_returns,M-Rita,1,11914.00,0.00
2026-01-09,A146,T2_delivery,M-Rita,1,764.00,0.00
2026-01-09,A149,T1_returns,M-Javier,2,1011.00,0.00
2026-01-09,A153,T2_delivery,M-Kim,1,613.00,0.00
2026-01-09,A157,T1_returns,M-Rita,1,460.00,0.00
2026-01-09,A158,T2_delivery,M-Kim,3,868.00,0.00
2026-01-09,A160,T2_delivery,M-Kim,1,581.00,0.00
2026-01-09,A161,T3_accounts,M-Kim,2,435.00,0.00
2026-01-09,A162,T1_returns,M-Kim,2,382.50,0.00
2026-01-09,A163,T2_delivery,M-Anika,1,498.00,0.00
2026-01-09,A169,T3_accounts,M-Kim,2,664.50,0.00
2026-01-09,A170,T3_accounts,M-Javier,1,766.00,0.00
2026-01-09,A172,T2_delivery,M-Rita,1,422.00,0.00
2026-01-09,A174,T2_delivery,M-Kim,1,682.00,0.00
2026-01-09,A175,T1_returns,M-Anika,1,468.00,0.00
2026-01-09,A999,unknown,unknown,5,600.60,0.00
2026-01-10,A101,T2_delivery,M-Rita,1,460.00,0.00
2026-01-10,A108,T1_returns,M-Rita,1,1328.00,0.00
2026-01-10,A114,T2_delivery,M-Anika,1,429.00,0.00
2026-01-10,A115,T1_returns,M-Kim,2,706.50,0.00
2026-01-10,A120,T2_delivery,M-Kim,1,1136.00,0.00
2026-01-10,A123,T3_accounts,M-Javier,1,1343.00,0.00
2026-01-10,A124,T1_returns,M-Javier,1,401.00,0.00
2026-01-10,A126,T3_accounts,M-Rita,1,1411.00,0.00
2026-01-10,A128,T3_accounts,M-Anika,1,958.00,0.00
2026-01-10,A129,T1_returns,M-Anika,1,450.00,0.00
2026-01-10,A130,T1_returns,M-Rita,1,637.00,0.00
2026-01-10,A135,T3_accounts,M-Kim,2,557.50,0.00
2026-01-10,A138,T1_returns,M-Rita,2,1149.00,0.00
2026-01-10,A139,T3_accounts,M-Rita,2,344.50,0.00
2026-01-10,A141,T2_delivery,M-Rita,2,670.00,0.00
2026-01-10,A143,T1_returns,M-Rita,3,712.00,0.00
2026-01-10,A145,T2_delivery,M-Anika,1,611.00,0.00
2026-01-10,A152,T2_delivery,M-Anika,2,414.00,0.00
2026-01-10,A155,T2_delivery,M-Javier,1,1477.00,0.00
2026-01-10,A160,T2_delivery,M-Kim,1,511.00,0.00
2026-01-10,A162,T1_returns,M-Kim,1,1494.00,0.00
2026-01-10,A175,T1_returns,M-Anika,2,514.50,0.00
2026-01-10,A177,T2_delivery,M-Javier,1,1263.00,0.00
2026-01-10,A179,T2_delivery,M-Javier,1,483.00,0.00
2026-01-10,A999,unknown,unknown,2,566.00,0.00
2026-01-11,A102,T1_returns,M-Rita,1,668.00,0.00
2026-01-11,A104,T3_accounts,M-Javier,1,402.00,0.00
2026-01-11,A105,T1_returns,M-Javier,2,691.00,0.00
2026-01-11,A111,T1_returns,M-Anika,1,1385.00,0.00
2026-01-11,A114,T2_delivery,M-Anika,1,303.00,0.00
2026-01-11,A118,T1_returns,M-Javier,2,837.50,0.00
2026-01-11,A119,T3_accounts,M-Kim,1,421.00,0.00
2026-01-11,A120,T2_delivery,M-Kim,1,646.00,0.00
2026-01-11,A121,T3_accounts,M-Kim,2,590.50,0.00
2026-01-11,A133,T1_returns,M-Javier,1,621.00,0.00
2026-01-11,A136,T3_accounts,M-Anika,2,465.50,0.00
2026-01-11,A138,T1_returns,M-Rita,1,504.00,0.00
2026-01-11,A141,T2_delivery,M-Rita,1,518.00,0.00
2026-01-11,A143,T1_returns,M-Rita,1,1481.00,0.00
2026-01-11,A147,T3_accounts,M-Kim,2,447.50,0.00
2026-01-11,A150,T3_accounts,M-Kim,1,1140.00,0.00
2026-01-11,A155,T2_delivery,M-Javier,2,905.00,0.00
2026-01-11,A156,T2_delivery,M-Javier,1,1469.00,0.00
2026-01-11,A157,T1_returns,M-Rita,1,908.00,0.00
2026-01-11,A159,T3_accounts,M-Javier,1,1247.00,0.00
