case_id,customer_id,site_code,channel,issue_type,priority,created_at,first_response_seconds,handle_seconds,resolved_at,sla_target_seconds,sla_breached,agent_id,created_ts,resolved_ts,resolution_seconds,invalid_duration_flag,is_open_case,handle_seconds_capped,team,manager
C101121,U9485,SEA3,callback,damaged_item,P3,2026-01-19 15:39:36,536,1265,2026-01-19 16:26:43,259200,0,A103,2026-01-19 15:39:36,2026-01-19 16:26:43,2827,0,0,1265,T2_delivery,M-Anika
C101102,U8707,DFW2,phone,account,P2,2026-01-18 17:34:14,,402,,172800,0,A119,2026-01-18 17:34:14,2026-03-27 18:28:02,5878428,0,1,402,T3_accounts,M-Kim
C102144,U15416,JFK5,chat,unknown,P1,2026-02-03 13:08:09,303,519,2026-02-03,86400,0,A166,2026-02-03 13:08:09,2026-02-03 00:00:00,,1,0,519,T2_delivery,M-Kim
C103620,U10891,DFW2,email,wrong_item,P2,2026-02-26 17:15:55,153,644,26-02-2026 17:43,172800,0,A105,2026-02-26 17:15:55,2026-02-26 17:43:00,1625,0,0,644,T1_returns,M-Javier
C103470,U15699,JFK5,phone,refund,P3,2026-02-24 06:32:26,60,361,02/24/2026 06:40,259200,0,A122,2026-02-24 06:32:26,2026-02-24 06:40:00,454,0,0,361,T3_accounts,M-Rita
C101506,U13818,SEA3,email,delivery_delay,P2,24-01-2026 06:50,139,653,2026-01-24 07:02:19,172800,0,A173,2026-01-24 06:50:00,2026-01-24 07:02:19,739,0,0,653,T1_returns,M-Anika
C101018,U7610,DFW2,chat,delivery_delay,P3,2026-01-16 11:15:54,,570,2026-01-16 11:26:25,259200,0,A144,2026-01-16 11:15:54,2026-01-16 11:26:25,631,0,0,570,T2_delivery,M-Rita
C102609,U11112,DFW2,email,refund,P3,2026-02-10,520,1057,2026-02-10 08:35:59,259200,0,A134,2026-02-10 00:00:00,2026-02-10 08:35:59,30959,0,0,1057,T2_delivery,M-Kim
C101426,U7914,DFW2,chat,payment,P3,2026-01-22 18:10:16,251,492,2026-01-22 18:32:16,259200,0,A143,2026-01-22 18:10:16,2026-01-22 18:32:16,1320,0,0,492,T1_returns,M-Rita
C101723,U13869,PHX1,chat,damaged_item,P2,2026-01-27 17:41:13,218,505,2026-01-27,172800,0,A137,2026-01-27 17:41:13,2026-01-27 00:00:00,,1,0,505,T2_delivery,M-Kim
C101478,U12320,SEA3,phone,delivery_delay,P1,2026-01-23 18:11:07,281,486,2026-01-23 18:29:20,86400,0,A999,2026-01-23 18:11:07,2026-01-23 18:29:20,1093,0,0,486,unknown,unknown
C101108,U9769,DFW2,chat,payment,P2,2026-01-19 18:53:57,389,668,2026-01-19 19:15:25,172800,0,A128,2026-01-19 18:53:57,2026-01-19 19:15:25,1288,0,0,668,T3_accounts,M-Anika
C102497,U7568,SEA3,email,wrong_item,P2,2026-02-09 19:20:17,377,918,,172800,0,A118,2026-02-09 19:20:17,2026-03-27 18:28:02,3971265,0,1,918,T1_returns,M-Javier
C100614,U11592,SEA3,chat,refund,P3,2026-01-11 18:05:25,67,265,01/11/2026 18:10,259200,0,A136,2026-01-11 18:05:25,2026-01-11 18:10:00,275,0,0,265,T3_accounts,M-Anika
C101389,U18223,DFW2,email,damaged_item,P2,01/22/2026 15:01,179,878,2026-01-22 15:38:47,172800,0,A128,2026-01-22 15:01:00,2026-01-22 15:38:47,2267,0,0,878,T3_accounts,M-Anika
C103745,U18212,DFW2,chat,payment,P3,01-03-2026 18:51,331,608,2026-03-01 19:04:21,259200,0,A136,2026-03-01 18:51:00,2026-03-01 19:04:21,801,0,0,608,T3_accounts,M-Anika
C100549,U11786,JFK5,email,wrong_item,P3,2026-01-09 12:46:56,543,855,2026-01-09 13:12:52,259200,0,A999,2026-01-09 12:46:56,2026-01-09 13:12:52,1556,0,0,855,unknown,unknown
C100441,U14918,SEA3,email,payment,P3,2026-01-08 18:33:43,367,1012,08-01-2026 19:01,259200,0,A142,2026-01-08 18:33:43,2026-01-08 19:01:00,1637,0,0,1012,T1_returns,M-Kim
C101872,U5924,SEA3,chat,damaged_item,P3,2026-01-30 11:56:37,173,380,2026-01-30 12:10:12,259200,0,A115,2026-01-30 11:56:37,2026-01-30 12:10:12,815,0,0,380,T1_returns,M-Kim
C101516,U18089,PHX1,callback,refund,P3,24-01-2026 15:49,494,855,2026-01-24 16:06:34,259200,0,A151,2026-01-24 15:49:00,2026-01-24 16:06:34,1054,0,0,855,T2_delivery,M-Anika
C101137,U14887,DFW2,chat,damaged_item,P1,01/19/2026 09:51,,522,2026-01-19 10:08:54,86400,0,A119,2026-01-19 09:51:00,2026-01-19 10:08:54,1074,0,0,522,T3_accounts,M-Kim
C102873,U15252,JFK5,chat,delivery_delay,P2,2026-02-14 07:18:12,176,568,2026-02-14 07:27:16,172800,0,A174,2026-02-14 07:18:12,2026-02-14 07:27:16,544,0,0,568,T2_delivery,M-Kim
C100706,U6814,PHX1,email,wrong_item,P1,2026-01-13 13:18:42,526,871,2026-01-13 13:44:19,86400,0,A116,2026-01-13 13:18:42,2026-01-13 13:44:19,1537,0,0,871,T2_delivery,M-Kim
C103607,U14231,SEA3,chat,account,P2,2026-02-26 19:49:56,67,242,,172800,0,A164,2026-02-26 19:49:56,2026-03-27 18:28:02,2500686,0,1,242,T1_returns,M-Anika
C100094,U9542,DFW2,email,account,P2,02-01-2026 08:53,648,1192,2026-01-02,172800,0,A118,2026-01-02 08:53:00,2026-01-02 00:00:00,,1,0,1192,T1_returns,M-Javier
C102202,U15892,DFW2,phone,refund,P3,2026-02-04 21:30:25,262,718,2026-02-04 21:54:16,259200,0,A145,2026-02-04 21:30:25,2026-02-04 21:54:16,1431,0,0,718,T2_delivery,M-Anika
C103574,U17794,SEA3,chat,wrong_item,P2,26-02-2026 12:44,206,630,2026-02-26 13:04:28,172800,0,A159,2026-02-26 12:44:00,2026-02-26 13:04:28,1228,0,0,630,T3_accounts,M-Javier
C103489,U10867,JFK5,chat,payment,P1,2026-02-25 17:01:35,236,431,,86400,0,A120,2026-02-25 17:01:35,2026-03-27 18:28:02,2597187,0,1,431,T2_delivery,M-Kim
C101636,U9449,SEA3,phone,wrong_item,P2,2026-01-26 16:13:23,260,550,26-01-2026 16:31,172800,0,A150,2026-01-26 16:13:23,2026-01-26 16:31:00,1057,0,0,550,T3_accounts,M-Kim
C103447,U7536,SEA3,chat,damaged_item,P2,2026-02-24 09:23:03,139,417,2026-02-24 09:33:25,172800,0,A144,2026-02-24 09:23:03,2026-02-24 09:33:25,622,0,0,417,T2_delivery,M-Rita
C102382,U11129,SEA3,chat,payment,P3,02/06/2026 14:06,157,378,02/06/2026 14:22,259200,0,A159,2026-02-06 14:06:00,2026-02-06 14:22:00,960,0,0,378,T3_accounts,M-Javier
C100363,U8465,DFW2,email,account,P1,01/07/2026 17:31,267,1420,2026-01-07 18:23:45,86400,0,A119,2026-01-07 17:31:00,2026-01-07 18:23:45,3165,0,0,1420,T3_accounts,M-Kim
C103296,U12975,JFK5,chat,wrong_item,P2,2026-02-22,239,688,2026-02-22 06:30:46,172800,0,A126,2026-02-22 00:00:00,2026-02-22 06:30:46,23446,0,0,688,T3_accounts,M-Rita
C101407,U8356,PHX1,email,account,P1,2026-01-22 07:09:55,908,1403,01/22/2026 07:45,86400,0,A132,2026-01-22 07:09:55,2026-01-22 07:45:00,2105,0,0,1403,T3_accounts,M-Anika
C103175,U15115,SEA3,phone,unknown,P2,2026-02-19 16:51:27,318,933,2026-02-19,172800,0,A153,2026-02-19 16:51:27,2026-02-19 00:00:00,,1,0,933,T2_delivery,M-Kim
C102369,U11601,SEA3,phone,delivery_delay,P2,2026-02-06 13:37:09,490,796,2026-02-06 14:10:20,172800,0,A117,2026-02-06 13:37:09,2026-02-06 14:10:20,1991,0,0,796,T2_delivery,M-Kim
C103718,U9538,JFK5,phone,delivery_delay,P1,28-02-2026 20:54,356,691,2026-02-28 21:16:16,86400,0,A102,2026-02-28 20:54:00,2026-02-28 21:16:16,1336,0,0,691,T1_returns,M-Rita
C100486,U13931,SEA3,chat,delivery_delay,P2,2026-01-08 17:07:55,184,540,2026-01-08 17:23:39,172800,0,A127,2026-01-08 17:07:55,2026-01-08 17:23:39,944,0,0,540,T1_returns,M-Anika
C101851,U10363,DFW2,chat,account,P3,2026-01-29 06:22:50,165,462,2026-01-29,259200,0,A176,2026-01-29 06:22:50,2026-01-29 00:00:00,,1,0,462,T2_delivery,M-Anika
C100822,U5281,DFW2,email,wrong_item,P2,2026-01-14 13:24:05,105,698,01/14/2026 13:56,172800,0,A146,2026-01-14 13:24:05,2026-01-14 13:56:00,1915,0,0,698,T2_delivery,M-Rita
C102284,U16494,JFK5,chat,payment,P2,2026-02-05 10:42:42,67,223,2026-02-05 10:49:23,172800,0,A111,2026-02-05 10:42:42,2026-02-05 10:49:23,401,0,0,223,T1_returns,M-Anika
C100781,U16700,PHX1,callback,refund,P2,2026-01-14 19:43:32,5518,9115,2026-01-15 01:43:16,172800,0,A154,2026-01-14 19:43:32,2026-01-15 01:43:16,21584,0,0,9115,T2_delivery,M-Kim
C102074,U7593,DFW2,chat,payment,P2,2026-02-02 13:36:06,308,484,2026-02-02 13:55:53,172800,0,A131,2026-02-02 13:36:06,2026-02-02 13:55:53,1187,0,0,484,T1_returns,M-Rita
C101816,U5878,DFW2,email,damaged_item,P3,2026-01-29 15:32:36,286,1001,2026-01-29 15:56:53,259200,0,A139,2026-01-29 15:32:36,2026-01-29 15:56:53,1457,0,0,1001,T3_accounts,M-Rita
C100236,U5848,JFK5,callback,damaged_item,P1,01/05/2026 15:10,326,676,2026-01-05 15:35:44,86400,0,A150,2026-01-05 15:10:00,2026-01-05 15:35:44,1544,0,0,676,T3_accounts,M-Kim
C101271,U17357,DFW2,phone,delivery_delay,P3,2026-01-21 11:40:38,124,300,2026-01-21 11:50:17,259200,0,A150,2026-01-21 11:40:38,2026-01-21 11:50:17,579,0,0,300,T3_accounts,M-Kim
C103622,U12160,JFK5,email,refund,P2,2026-02-26 09:52:53,487,760,02/26/2026 10:20,172800,0,A149,2026-02-26 09:52:53,2026-02-26 10:20:00,1627,0,0,760,T1_returns,M-Javier
C102181,U10732,PHX1,email,payment,P3,02/04/2026 21:06,495,1492,2026-02-04 21:59:56,259200,0,A151,2026-02-04 21:06:00,2026-02-04 21:59:56,3236,0,0,1492,T2_delivery,M-Anika
C100007,U13348,SEA3,phone,account,P2,2026-01-01 14:08:15,232,897,2026-01-01 14:50:02,172800,0,A163,2026-01-01 14:08:15,2026-01-01 14:50:02,2507,0,0,897,T2_delivery,M-Anika
C103181,U14649,SEA3,phone,payment,P1,2026-02-20 15:26:29,,632,20-02-2026 15:53,86400,0,A122,2026-02-20 15:26:29,2026-02-20 15:53:00,1591,0,0,632,T3_accounts,M-Rita
C102859,U10379,PHX1,chat,delivery_delay,P2,2026-02-14 08:21:57,263,514,14-02-2026 08:37,172800,0,A138,2026-02-14 08:21:57,2026-02-14 08:37:00,903,0,0,514,T1_returns,M-Rita
C101034,U7126,JFK5,chat,wrong_item,P3,01/17/2026 14:32,1496,9393,01/17/2026 17:50,259200,0,A135,2026-01-17 14:32:00,2026-01-17 17:50:00,11880,0,0,9393,T3_accounts,M-Kim
C103107,U7434,DFW2,chat,wrong_item,P2,2026-02-18 21:02:34,4694,18765,02/19/2026 08:25,172800,0,A139,2026-02-18 21:02:34,2026-02-19 08:25:00,40946,0,0,11914,T3_accounts,M-Rita
C103412,U7585,JFK5,email,refund,P2,2026-02-24 19:15:54,432,1497,2026-02-24 20:01:56,172800,0,A110,2026-02-24 19:15:54,2026-02-24 20:01:56,2762,0,0,1497,T2_delivery,M-Anika
C103048,U18820,PHX1,phone,refund,P2,2026-02-18 20:34:39,,374,2026-02-18 20:43:45,172800,0,A114,2026-02-18 20:34:39,2026-02-18 20:43:45,546,0,0,374,T2_delivery,M-Anika
C101070,U16817,PHX1,email,wrong_item,P3,2026-01-17 12:51:13,210,672,01/17/2026 13:06,259200,0,A175,2026-01-17 12:51:13,2026-01-17 13:06:00,887,0,0,672,T1_returns,M-Anika
C100478,U12842,JFK5,phone,damaged_item,P3,2026-01-08 18:11:44,139,764,2026-01-08,259200,0,A159,2026-01-08 18:11:44,2026-01-08 00:00:00,,1,0,764,T3_accounts,M-Javier
C102298,U15526,JFK5,email,unknown,P2,02/05/2026 18:42,3552,17481,06-02-2026 05:49,172800,0,A102,2026-02-05 18:42:00,2026-02-06 05:49:00,40020,0,0,11914,T1_returns,M-Rita
C102678,U8423,SEA3,phone,refund,P2,2026-02-11 21:29:22,256,455,2026-02-11 21:47:27,172800,0,A115,2026-02-11 21:29:22,2026-02-11 21:47:27,1085,0,0,455,T1_returns,M-Kim
C101688,U6917,JFK5,chat,account,P1,27-01-2026 17:34,117,513,01/27/2026 17:52,86400,0,A109,2026-01-27 17:34:00,2026-01-27 17:52:00,1080,0,0,513,T3_accounts,M-Rita
C103702,U13649,JFK5,email,payment,P1,28-02-2026 10:49,381,1442,2026-02-28 11:26:12,86400,0,A142,2026-02-28 10:49:00,2026-02-28 11:26:12,2232,0,0,1442,T1_returns,M-Kim
C100131,U10908,DFW2,chat,delivery_delay,P2,2026-01-02 13:45:09,246,512,02-01-2026 13:55,172800,0,A108,2026-01-02 13:45:09,2026-01-02 13:55:00,591,0,0,512,T1_returns,M-Rita
C102060,U6041,JFK5,chat,delivery_delay,P1,2026-02-02 14:51:05,115,221,02/02/2026 14:57,86400,0,A126,2026-02-02 14:51:05,2026-02-02 14:57:00,355,0,0,221,T3_accounts,M-Rita
C103484,U11140,PHX1,chat,refund,P3,02/24/2026 09:40,97,364,2026-02-24 09:55:55,259200,0,A153,2026-02-24 09:40:00,2026-02-24 09:55:55,955,0,0,364,T2_delivery,M-Kim
C101850,U8855,DFW2,email,wrong_item,P2,2026-01-29 22:58:59,279,881,2026-01-29 23:24:23,172800,0,A133,2026-01-29 22:58:59,2026-01-29 23:24:23,1524,0,0,881,T1_returns,M-Javier
C102430,U15824,JFK5,chat,wrong_item,P3,2026-02-08 08:42:50,126,283,2026-02-08 08:47:25,259200,0,A104,2026-02-08 08:42:50,2026-02-08 08:47:25,275,0,0,283,T3_accounts,M-Javier
C101905,U12657,SEA3,email,wrong_item,P1,30-01-2026 12:29,344,1239,2026-01-30 13:06:18,86400,0,A116,2026-01-30 12:29:00,2026-01-30 13:06:18,2238,0,0,1239,T2_delivery,M-Kim
C102492,U7352,JFK5,phone,wrong_item,P1,2026-02-09 21:06:37,195,860,2026-02-09 21:43:08,86400,0,A133,2026-02-09 21:06:37,2026-02-09 21:43:08,2191,0,0,860,T1_returns,M-Javier
C100362,U11649,PHX1,email,account,P3,2026-01-07 11:24:41,1004,1578,2026-01-07 12:03:34,259200,0,A145,2026-01-07 11:24:41,2026-01-07 12:03:34,2333,0,0,1578,T2_delivery,M-Anika
C101807,U11987,PHX1,chat,wrong_item,P1,2026-01-29 17:36:01,59,251,2026-01-29 17:41:00,86400,0,A152,2026-01-29 17:36:01,2026-01-29 17:41:00,299,0,0,251,T2_delivery,M-Anika
C103105,U16802,JFK5,chat,delivery_delay,P3,2026-02-18 11:11:56,177,400,2026-02-18 11:23:26,259200,0,A125,2026-02-18 11:11:56,2026-02-18 11:23:26,690,0,0,400,T3_accounts,M-Rita
C103256,U16436,SEA3,chat,wrong_item,P1,02/21/2026 11:24,129,364,2026-02-21,86400,0,A146,2026-02-21 11:24:00,2026-02-21 00:00:00,,1,0,364,T2_delivery,M-Rita
C100751,U6481,PHX1,chat,wrong_item,P3,2026-01-13 14:14:46,233,560,2026-01-13 14:36:32,259200,0,A142,2026-01-13 14:14:46,2026-01-13 14:36:32,1306,0,0,560,T1_returns,M-Kim
C101904,U9291,PHX1,phone,payment,P2,2026-01-30 07:19:31,241,600,2026-01-30 07:45:55,172800,0,A135,2026-01-30 07:19:31,2026-01-30 07:45:55,1584,0,0,600,T3_accounts,M-Kim
C103467,U6953,PHX1,email,damaged_item,P2,2026-02-24 22:01:06,183,842,2026-02-24 22:17:55,172800,0,A176,2026-02-24 22:01:06,2026-02-24 22:17:55,1009,0,0,842,T2_delivery,M-Anika
C100893,U9153,SEA3,chat,payment,P2,2026-01-15 10:49:06,252,596,,172800,0,A146,2026-01-15 10:49:06,2026-03-27 18:28:02,6161936,0,1,596,T2_delivery,M-Rita
C103275,U14972,PHX1,phone,refund,P2,02/21/2026 09:30,270,541,,172800,0,A106,2026-02-21 09:30:00,2026-03-27 18:28:02,2969882,0,1,541,T1_returns,M-Anika
C100222,U15067,SEA3,email,damaged_item,P2,2026-01-05 18:39:25,439,873,05-01-2026 19:02,172800,0,A175,2026-01-05 18:39:25,2026-01-05 19:02:00,1355,0,0,873,T1_returns,M-Anika
C100001,U18202,DFW2,phone,payment,P2,2026-01-01 06:35:12,421,759,2026-01-01 06:49:15,172800,0,A120,2026-01-01 06:35:12,2026-01-01 06:49:15,843,0,0,759,T2_delivery,M-Kim
C103215,U18524,SEA3,phone,delivery_delay,P1,2026-02-20 18:37:58,267,508,,86400,0,A164,2026-02-20 18:37:58,2026-03-27 18:28:02,3023404,0,1,508,T1_returns,M-Anika
C100279,U12113,SEA3,callback,damaged_item,P2,2026-01-05 08:35:57,708,1141,2026-01-05 09:02:12,172800,0,A120,2026-01-05 08:35:57,2026-01-05 09:02:12,1575,0,0,1141,T2_delivery,M-Kim
C102127,U9939,DFW2,phone,account,P2,2026-02-03,327,546,2026-02-03,172800,0,A165,2026-02-03 00:00:00,2026-02-03 00:00:00,0,0,0,546,T2_delivery,M-Anika
C101965,U17299,PHX1,email,damaged_item,P2,31-01-2026 21:30,478,801,2026-01-31 21:41:49,172800,0,A108,2026-01-31 21:30:00,2026-01-31 21:41:49,709,0,0,801,T1_returns,M-Rita
C101827,U7713,PHX1,email,delivery_delay,P2,2026-01-29 22:21:55,301,941,2026-01-29 22:48:10,172800,0,A115,2026-01-29 22:21:55,2026-01-29 22:48:10,1575,0,0,941,T1_returns,M-Kim
C101986,U15114,DFW2,phone,refund,P2,02/01/2026 14:02,420,704,01-02-2026 14:17,172800,0,A175,2026-02-01 14:02:00,2026-02-01 14:17:00,900,0,0,704,T1_returns,M-Anika
C102823,U5116,SEA3,chat,payment,P2,2026-02-13 17:39:30,286,536,2026-02-13 17:56:45,172800,0,A115,2026-02-13 17:39:30,2026-02-13 17:56:45,1035,0,0,536,T1_returns,M-Kim
C101988,U7870,PHX1,chat,delivery_delay,P2,2026-02-01 13:43:11,61,253,2026-02-01 13:50:14,172800,0,A166,2026-02-01 13:43:11,2026-02-01 13:50:14,423,0,0,253,T2_delivery,M-Kim
C102274,U8568,DFW2,email,damaged_item,P3,2026-02-05 22:49:21,444,773,2026-02-05 23:25:24,259200,0,A177,2026-02-05 22:49:21,2026-02-05 23:25:24,2163,0,0,773,T2_delivery,M-Javier
C102833,U5907,JFK5,chat,payment,P2,02/13/2026 19:38,245,635,2026-02-13 19:58:17,172800,0,A135,2026-02-13 19:38:00,2026-02-13 19:58:17,1217,0,0,635,T3_accounts,M-Kim
C100219,U8798,DFW2,chat,payment,P2,2026-01-05 09:43:51,215,502,2026-01-05 10:06:41,172800,0,A151,2026-01-05 09:43:51,2026-01-05 10:06:41,1370,0,0,502,T2_delivery,M-Anika
C103421,U17959,SEA3,email,payment,P2,02/24/2026 18:26,953,1550,2026-02-24 19:37:17,172800,0,A107,2026-02-24 18:26:00,2026-02-24 19:37:17,4277,0,0,1550,T2_delivery,M-Rita
C103719,U18289,SEA3,chat,damaged_item,P3,2026-02-28 11:58:34,177,377,2026-02-28 12:09:37,259200,0,A115,2026-02-28 11:58:34,2026-02-28 12:09:37,663,0,0,377,T1_returns,M-Kim
C100971,U16547,SEA3,chat,wrong_item,P1,2026-01-16,146,709,2026-01-16 19:55:19,86400,0,A116,2026-01-16 00:00:00,2026-01-16 19:55:19,71719,0,0,709,T2_delivery,M-Kim
C101792,U13353,DFW2,callback,payment,P1,2026-01-29,324,1224,2026-01-29 13:06:48,86400,0,A155,2026-01-29 00:00:00,2026-01-29 13:06:48,47208,0,0,1224,T2_delivery,M-Javier
C102291,U11719,SEA3,phone,refund,P2,2026-02-05 10:17:41,298,734,05-02-2026 10:35,172800,0,A124,2026-02-05 10:17:41,2026-02-05 10:35:00,1039,0,0,734,T1_returns,M-Javier
C103418,U11608,SEA3,phone,payment,P2,2026-02-24 16:59:58,236,460,2026-02-24 17:09:57,172800,0,A100,2026-02-24 16:59:58,2026-02-24 17:09:57,599,0,0,460,T3_accounts,M-Kim
C100626,U15018,JFK5,phone,account,P3,2026-01-11 19:54:31,132,337,2026-01-11 20:02:47,259200,0,A162,2026-01-11 19:54:31,2026-01-11 20:02:47,496,0,0,337,T1_returns,M-Kim
C102582,U12629,SEA3,chat,payment,P2,2026-02-10 12:19:43,305,553,2026-02-10 12:43:01,172800,0,A149,2026-02-10 12:19:43,2026-02-10 12:43:01,1398,0,0,553,T1_returns,M-Javier
C101326,U7042,SEA3,chat,refund,P2,2026-01-21 12:52:33,195,686,2026-01-21 13:17:06,172800,0,A153,2026-01-21 12:52:33,2026-01-21 13:17:06,1473,0,0,686,T2_delivery,M-Kim
C101956,U9526,PHX1,chat,account,P2,2026-01-31 21:00:03,350,587,2026-01-31,172800,0,A999,2026-01-31 21:00:03,2026-01-31 00:00:00,,1,0,587,unknown,unknown
C102041,U17288,DFW2,callback,damaged_item,P3,2026-02-02 10:59:14,308,830,02/02/2026 11:22,259200,0,A150,2026-02-02 10:59:14,2026-02-02 11:22:00,1366,0,0,830,T3_accounts,M-Kim
C101794,U17474,DFW2,phone,wrong_item,P3,2026-01-29 08:10:12,98,314,2026-01-29 08:23:46,259200,0,A127,2026-01-29 08:10:12,2026-01-29 08:23:46,814,0,0,314,T1_returns,M-Anika
C102449,U10780,PHX1,chat,delivery_delay,P2,2026-02-08 10:01:39,63,281,2026-02-08 10:09:17,172800,0,A999,2026-02-08 10:01:39,2026-02-08 10:09:17,458,0,0,281,unknown,unknown
C102739,U11560,SEA3,chat,refund,P3,2026-02-12 13:33:21,95,306,2026-02-12 13:43:52,259200,0,A130,2026-02-12 13:33:21,2026-02-12 13:43:52,631,0,0,306,T1_returns,M-Rita
C102880,U15620,DFW2,email,damaged_item,P2,2026-02-15 11:47:49,783,1365,2026-02-15 12:12:18,172800,0,A171,2026-02-15 11:47:49,2026-02-15 12:12:18,1469,0,0,1365,T2_delivery,M-Javier
